Title;Company;Address;Date;Type;Experience
Applied Machine Learning Engineer / Computer Vision Scientist                                       ;412labs.com                                                                                         ;Cairo, Egypt                                                                                        ;2021-12-03                                                                                          ;Full Time                                                                                           ;4+ Yrs of Exp                                                                                       
Machine Learning Engineer                                                                           ;Confidential                                                                                        ;New Cairo, Cairo, Egypt                                                                             ;2021-11-03                                                                                          ;Freelance / Project                                                                                 ;3+ Yrs of Exp                                                                                       
For USA (Remotely) Data Scientist                                                                   ;Mobile Wave 3                                                                                       ;Cairo, Egypt                                                                                        ;2021-12-03                                                                                          ;Work From Home                                                                                      ;10 - 17 Yrs of Exp                                                                                  
Senior React Native Developer (Remote)                                                              ;skora tech                                                                                          ;Cairo, Egypt                                                                                        ;2021-12-03                                                                                          ;Full Time                                                                                           ;2 - 7 Yrs of Exp                                                                                    
Enterprise Software Developer                                                                       ;eT3 - Tomorrow Information Technology                                                               ;New Cairo, Cairo, Egypt                                                                             ;2021-12-03                                                                                          ;Full Time                                                                                           ;Entry Level                                                                                         
Senior Full Stack Software Engineer ( Python - React )                                              ;JRM for Communications                                                                              ;Nasr City, Cairo, Egypt                                                                             ;2021-11-03                                                                                          ;Full Time                                                                                           ;2 - 3 Yrs of Exp                                                                                    
Graduate Research Intern                                                                            ;360Imaging                                                                                          ;Dokki, Giza, Egypt                                                                                  ;2021-11-03                                                                                          ;Work From Home                                                                                      ;Student                                                                                             
Senior Machine Learning Engineer (NLP)                                                              ;Botit                                                                                               ;Downtown, Cairo, Egypt                                                                              ;2021-11-03                                                                                          ;Full Time                                                                                           ;3 - 8 Yrs of Exp                                                                                    
Data Scientist                                                                                      ;Ibn Sina Pharma                                                                                     ;Cairo, Egypt                                                                                        ;2021-11-03                                                                                          ;Full Time                                                                                           ;1 - 3 Yrs of Exp                                                                                    
Senior Java Back-End Developer (Remote)                                                             ;skora tech                                                                                          ;Cairo, Egypt                                                                                        ;2021-11-03                                                                                          ;Internship                                                                                          ;2 - 7 Yrs of Exp                                                                                    
CAD Drawing / CNC Operating Engineer - Beni Suef                                                    ;PENCILIGHT                                                                                          ;New Beni Suef, Beni Suef, Egypt                                                                     ;2021-12-03                                                                                          ;Full Time                                                                                           ;Entry Level                                                                                         
Senior Full Stack Java Developer                                                                    ;RDI                                                                                                 ;Dokki, Giza, Egypt                                                                                  ;2021-12-03                                                                                          ;Full Time                                                                                           ;3+ Yrs of Exp                                                                                       
Data Science Instructor                                                                             ;EpsilonAI                                                                                           ;Nasr City, Cairo, Egypt                                                                             ;2021-11-03                                                                                          ;Full Time                                                                                           ;1+ Yrs of Exp                                                                                       
Senior Ruby on Rails Developer                                                                      ;Remote Platz                                                                                        ;Zurich, Switzerland                                                                                 ;2021-11-03                                                                                          ;Work From Home                                                                                      ;3+ Yrs of Exp                                                                                       
Administrative Assistant                                                                            ;ADC Egypt                                                                                           ;Dokki, Giza, Egypt                                                                                  ;2021-11-03                                                                                          ;Full Time                                                                                           ;1+ Yrs of Exp                                                                                       
Administrative Assistant                                                                            ;ADC Egypt                                                                                           ;Dokki, Giza, Egypt                                                                                  ;2021-11-03                                                                                          ;Full Time                                                                                           ;1+ Yrs of Exp                                                                                       
Senior .Net Core Developer                                                                          ;Maxim Investment Group                                                                              ;Sheraton, Cairo, Egypt                                                                              ;2022-01-03                                                                                          ;Full Time                                                                                           ;4+ Yrs of Exp                                                                                       
Senior Full Stack Software Engineer (.NET Core - Angular)                                           ;JRM for Communications                                                                              ;Nasr City, Cairo, Egypt                                                                             ;2021-11-03                                                                                          ;Full Time                                                                                           ;2 - 3 Yrs of Exp                                                                                    
Electrical Maintenance Engineer                                                                     ;Kadesia Engineering Industries                                                                      ;10th of Ramadan City, Cairo, Egypt                                                                  ;2021-12-29                                                                                          ;Full Time                                                                                           ;4 - 6 Yrs of Exp                                                                                    
Senior Data Scientist                                                                               ;Talenter                                                                                            ;Giza, Egypt                                                                                         ;2021-12-03                                                                                          ;Full Time                                                                                           ;2 - 5 Yrs of Exp                                                                                    
Mechanical Maintenance Engineer                                                                     ;Kadesia Engineering Industries                                                                      ;10th of Ramadan City, Cairo, Egypt                                                                  ;2021-11-03                                                                                          ;Full Time                                                                                           ;4 - 7 Yrs of Exp                                                                                    
Speech-To-Text Transcriptionist (Wav2Letter++ ) (Arabic + English Models)                           ;Unvc                                                                                                ;Cairo, Egypt                                                                                        ;2021-12-03                                                                                          ;Freelance / Project                                                                                 ;1+ Yrs of Exp                                                                                       
ID Card Printers Engineer - Cairo                                                                   ;AIC - Al Maalim International Co.                                                                   ;New Cairo, Cairo, Egypt                                                                             ;2021-12-03                                                                                          ;Full Time                                                                                           ;5 - 10 Yrs of Exp                                                                                   
Senior Software Developer (Focusing on .NET)                                                        ;TMentors                                                                                            ;Maadi, Cairo, Egypt                                                                                 ;2021-12-03                                                                                          ;Full Time                                                                                           ;2 - 5 Yrs of Exp                                                                                    
Customer Care & Social Media Moderator                                                              ;CHIC HOMZ                                                                                           ;Maadi, Cairo, Egypt                                                                                 ;2021-12-03                                                                                          ;Full Time                                                                                           ;1 - 3 Yrs of Exp                                                                                    
Scrum Master                                                                                        ;RDI                                                                                                 ;Dokki, Giza, Egypt                                                                                  ;2021-12-03                                                                                          ;Shift Based                                                                                         ;3+ Yrs of Exp                                                                                       
Smart Manufacturing Engineer - Alexandria                                                           ;Prometeon Tyres Group â€“ Egypt (Ex-Pirelli Tyres Egypt)                                              ;Ameria, Alexandria, Egypt                                                                           ;2021-12-03                                                                                          ;Full Time                                                                                           ;0 - 3 Yrs of Exp                                                                                    
Mid-Senior Level Front-End Software Developer (Remote)                                              ;skora tech                                                                                          ;Cairo, Egypt                                                                                        ;2021-11-03                                                                                          ;Full Time                                                                                           ;2 - 5 Yrs of Exp                                                                                    
Production Engineer - PVC Pipes                                                                     ;Misr Elhegaz Group                                                                                  ;10th of Ramadan City, Sharqia, Egypt                                                                ;2021-11-03                                                                                          ;Full Time                                                                                           ;2+ Yrs of Exp                                                                                       
Senior RPA Developer (.Net)                                                                         ;SmartTech Systems                                                                                   ;Nasr City, Cairo, Egypt                                                                             ;2021-11-03                                                                                          ;Work From Home                                                                                      ;3 - 5 Yrs of Exp                                                                                    
Remotely for UK (Project Management / Lead Developer)                                               ;Mobile Wave 3                                                                                       ;Nasr City, Cairo, Egypt                                                                             ;2021-12-03                                                                                          ;Full Time                                                                                           ;7 - 10 Yrs of Exp                                                                                   
Social Media Specialist                                                                             ;Beyond Apps Group                                                                                   ;Nasr City, Cairo, Egypt                                                                             ;2021-12-29                                                                                          ;Full Time                                                                                           ;2 - 5 Yrs of Exp                                                                                    
Data Management & Analytics Consultant - ETL & BI                                                   ;Ejada (Cairo)                                                                                       ;Cairo, Egypt                                                                                        ;2021-11-03                                                                                          ;Full Time                                                                                           ;5 - 10 Yrs of Exp                                                                                   
Junior R&D Software Engineer - .NET                                                                 ;AGI                                                                                                 ;6th of October, Giza, Egypt                                                                         ;2021-12-03                                                                                          ;Full Time                                                                                           ;1 - 3 Yrs of Exp                                                                                    
System Engineer                                                                                     ;axispay                                                                                             ;Downtown, Cairo, Egypt                                                                              ;2021-12-03                                                                                          ;Full Time                                                                                           ;4 - 5 Yrs of Exp                                                                                    
R&D Electrical/Electronic Engineer                                                                  ;Elaraby Group                                                                                       ;Banha, Qalubia, Egypt                                                                               ;2021-12-03                                                                                          ;Full Time                                                                                           ;0 - 2 Yrs of Exp                                                                                    
Senior Software Development Consultant                                                              ;Flint                                                                                               ;Cairo, Egypt                                                                                        ;2021-11-03                                                                                          ;Full Time                                                                                           ;7 - 15 Yrs of Exp                                                                                   
Senior R&D software Engineer - .NET                                                                 ;AGI                                                                                                 ;6th of October, Giza, Egypt                                                                         ;2021-11-03                                                                                          ;Full Time                                                                                           ;4 - 5 Yrs of Exp                                                                                    
Senior Software Developer                                                                           ;Target Recruitment & HR Solutions                                                                   ;Cairo, Egypt                                                                                        ;2021-11-03                                                                                          ;Full Time                                                                                           ;3 - 6 Yrs of Exp                                                                                    
Senior Full Stack Developer (Spring - Angular)                                                      ;A1Softech                                                                                           ;Cairo, Egypt                                                                                        ;2021-12-03                                                                                          ;Full Time                                                                                           ;5+ Yrs of Exp                                                                                       
